,triple,score,label
0,"['covid-19', 'disease_drug', 'rna']",-12.73595715,0
1,"['covid-19', 'disease_drug', 'covid-19']",-13.02629089,0
2,"['covid-19', 'disease_drug', 'sars cov infection']",-13.0340271,0
3,"['covid-19', 'disease_drug', 'tissue']",-13.16308403,0
4,"['covid-19', 'disease_drug', 'liver']",-13.1770668,0
5,"['covid-19', 'disease_drug', 'blood']",-13.17943573,0
6,"['covid-19', 'disease_drug', 'type']",-13.19312191,0
7,"['covid-19', 'disease_drug', 'virus']",-13.21193504,0
8,"['covid-19', 'disease_drug', 'lung']",-13.2156868,0
9,"['covid-19', 'disease_drug', 'pandemic']",-13.30360508,0
10,"['lower', 'drug_disease', 'covid-19']",-14.13360882,0
11,"['covid-19', 'drug_disease', 'covid-19']",-14.16355228,0
12,"['rna', 'drug_disease', 'covid-19']",-14.19165039,0
13,"['critical', 'drug_disease', 'covid-19']",-14.28798103,0
14,"['sars cov infection', 'drug_disease', 'covid-19']",-14.2909584,0
15,"['inflammation', 'drug_disease', 'covid-19']",-14.41089153,0
16,"['virus', 'drug_disease', 'covid-19']",-14.43127441,0
17,"['lung', 'drug_disease', 'covid-19']",-14.44137573,0
18,"['liver', 'drug_disease', 'covid-19']",-14.44907188,0
19,"['lung injury', 'drug_disease', 'covid-19']",-14.49602509,0
