,triple,score
0,"['covid-19', 'disease_gene', 'virus']",-18.082550048828125
1,"['covid-19', 'disease_gene', 'scv']",-18.18340301513672
2,"['covid-19', 'disease_gene', 'ctd']",-18.488285064697266
3,"['covid-19', 'disease_gene', 'dmvs']",-18.572647094726562
4,"['covid-19', 'disease_gene', 'vaccine']",-18.607276916503906
5,"['covid-19', 'disease_gene', 'mev']",-18.666799545288086
6,"['covid-19', 'disease_gene', 'viral infection']",-18.747657775878906
7,"['covid-19', 'disease_gene', 'infection']",-18.767864227294922
8,"['covid-19', 'disease_gene', 'eb']",-18.81048583984375
9,"['covid-19', 'disease_gene', 'flock house virus']",-18.84372901916504
10,"['2009', 'gene_disease', 'covid-19']",-18.80461883544922
11,"['critical', 'gene_disease', 'covid-19']",-18.83701515197754
12,"['rna', 'gene_disease', 'covid-19']",-19.17934226989746
13,"['viral', 'gene_disease', 'covid-19']",-19.7276554107666
14,"['blood', 'gene_disease', 'covid-19']",-19.733318328857422
15,"['recruitment', 'gene_disease', 'covid-19']",-19.784893035888672
16,"['inflammatory', 'gene_disease', 'covid-19']",-19.791505813598633
17,"['upper respiratory disease', 'gene_disease', 'covid-19']",-19.813905715942383
18,"['same', 'gene_disease', 'covid-19']",-19.815587997436523
19,"['trs', 'gene_disease', 'covid-19']",-20.02099609375
