,triple,score,label
0,"['covid-19', 'disease_species', 'pneumonia']",-14.15997791,0
1,"['covid-19', 'disease_species', 'viral infection']",-14.39360428,0
2,"['covid-19', 'disease_species', 'co-infection']",-14.4123764,0
3,"['covid-19', 'disease_species', 'disease']",-14.4510088,0
4,"['covid-19', 'disease_species', 'covid-19']",-14.48031712,0
5,"['covid-19', 'disease_species', 'infection']",-14.53427696,0
6,"['covid-19', 'disease_species', 'coronavirus infection']",-14.56845665,0
7,"['covid-19', 'disease_species', 'enteritis']",-14.59259033,0
8,"['covid-19', 'disease_species', 'infectious disease']",-14.62151337,0
9,"['covid-19', 'disease_species', 'lung']",-14.66254234,0
10,"['covid-19', 'disease_species', 'sars cov infection']",-14.66415024,0
11,"['covid-19', 'disease_species', 'fungal infection']",-14.67539024,0
12,"['covid-19', 'disease_species', 'condition']",-14.70517826,0
13,"['covid-19', 'disease_species', 'hiv infection']",-14.72805405,0
14,"['covid-19', 'disease_species', 'thrombocytopenia']",-14.73233795,0
15,"['covid-19', 'disease_species', 'pandemic']",-14.73866367,0
16,"['covid-19', 'disease_species', 'virus']",-14.74860954,0
17,"['covid-19', 'disease_species', 'respiratory infection']",-14.78680992,0
18,"['covid-19', 'disease_species', 'acute infection']",-14.79620171,0
19,"['covid-19', 'disease_species', 'vaccine']",-14.79948235,0
