,triple,score,label
0,"['covid-19', 'disease_symptom', 'covid-19']",-11.17067337,0
1,"['covid-19', 'disease_symptom', 'type']",-11.70583153,0
2,"['covid-19', 'disease_symptom', 'pneumonia']",-11.84014511,1
3,"['covid-19', 'disease_symptom', 'syndrome']",-11.91737747,0
4,"['covid-19', 'disease_symptom', 'pandemic']",-11.92665005,0
5,"['covid-19', 'disease_symptom', 'condition']",-11.93793297,0
6,"['covid-19', 'disease_symptom', 'viral infection']",-11.96357155,0
7,"['covid-19', 'disease_symptom', 'enteritis']",-11.96606255,0
8,"['covid-19', 'disease_symptom', 'sars cov infection']",-11.99923611,0
9,"['covid-19', 'disease_symptom', 'lung']",-12.00765324,0
10,"['covid-19', 'symptom_disease', 'covid-19']",-11.33455276,0
11,"['pneumonia', 'symptom_disease', 'covid-19']",-11.63941097,1
12,"['respiratory failure', 'symptom_disease', 'covid-19']",-11.73376465,1
13,"['syndrome', 'symptom_disease', 'covid-19']",-11.74143982,0
14,"['severe', 'symptom_disease', 'covid-19']",-11.77919579,0
15,"['condition', 'symptom_disease', 'covid-19']",-11.83677483,0
16,"['lung', 'symptom_disease', 'covid-19']",-11.84447002,0
17,"['pandemic', 'symptom_disease', 'covid-19']",-11.84893131,0
18,"['sars cov infection', 'symptom_disease', 'covid-19']",-11.86127663,0
19,"['inflammation', 'symptom_disease', 'covid-19']",-11.88295937,0
